Cliente,Dirección,Latitud,Longitud,Teléfono de contacto,Correo electrónico de contacto,Mes,Fecha
Cliente 24878,"Av. Mitre 200, Quilmes",-34.488182,-58.60276,1160024878,cte24878@duff.com.ar,July 2025,2025-07-08
Cliente 24879,"Av. Hipólito Yrigoyen 16000, Lomas",-34.415166,-58.395743,1160024879,cte24879@duff.com.ar,July 2025,2025-07-08
Cliente 24880,"Av. Libertador 15000, San Isidro",-34.47247,-58.442859,1160024880,cte24880@duff.com.ar,July 2025,2025-07-08
Cliente 24881,"Av. Santa Fe 2300, Palermo",-34.471081,-58.743213,1160024881,cte24881@duff.com.ar,July 2025,2025-07-08
Cliente 24882,"Av. Corrientes 1234, CABA",-34.459375,-58.679164,1160024882,cte24882@duff.com.ar,July 2025,2025-07-08
Cliente 24883,"Av. Rivadavia 1000, CABA",-34.463486,-58.745797,1160024883,cte24883@duff.com.ar,July 2025,2025-07-08
Cliente 24884,"Av. Calchaquí 2300, Quilmes",-34.537819,-58.543229,1160024884,cte24884@duff.com.ar,July 2025,2025-07-08
Cliente 24885,"Av. Calchaquí 2300, Quilmes",-34.533366,-58.472405,1160024885,cte24885@duff.com.ar,July 2025,2025-07-08
Cliente 24886,"Av. Calchaquí 2300, Quilmes",-34.495458,-58.366133,1160024886,cte24886@duff.com.ar,July 2025,2025-07-08
Cliente 24887,"Av. Libertador 15000, San Isidro",-34.528438,-58.461256,1160024887,cte24887@duff.com.ar,July 2025,2025-07-08
Cliente 24888,"Av. Calchaquí 2300, Quilmes",-34.432832,-58.648553,1160024888,cte24888@duff.com.ar,July 2025,2025-07-08
Cliente 24889,"Ruta 8 Km 30, San Miguel",-34.449174,-58.592674,1160024889,cte24889@duff.com.ar,July 2025,2025-07-08
Cliente 24890,"Av. Mitre 200, Quilmes",-34.574255,-58.748541,1160024890,cte24890@duff.com.ar,July 2025,2025-07-08
Cliente 24891,"Av. Calchaquí 2300, Quilmes",-34.451248,-58.675502,1160024891,cte24891@duff.com.ar,July 2025,2025-07-08
Cliente 24892,"Belgrano 500, Morón",-34.589761,-58.551116,1160024892,cte24892@duff.com.ar,July 2025,2025-07-08
Cliente 24893,"Av. Corrientes 1234, CABA",-34.53066,-58.473277,1160024893,cte24893@duff.com.ar,July 2025,2025-07-08
Cliente 24894,"San Martín 800, Lanús",-34.578527,-58.696939,1160024894,cte24894@duff.com.ar,July 2025,2025-07-08
Cliente 24895,"Av. Santa Fe 2300, Palermo",-34.519178,-58.541837,1160024895,cte24895@duff.com.ar,July 2025,2025-07-08
Cliente 24896,"Av. Hipólito Yrigoyen 16000, Lomas",-34.435161,-58.51575,1160024896,cte24896@duff.com.ar,July 2025,2025-07-08
Cliente 24897,"Av. Santa Fe 2300, Palermo",-34.419481,-58.662893,1160024897,cte24897@duff.com.ar,July 2025,2025-07-08
Cliente 24898,"Av. Santa Fe 2300, Palermo",-34.480756,-58.487905,1160024898,cte24898@duff.com.ar,July 2025,2025-07-09
Cliente 24899,"Av. Calchaquí 2300, Quilmes",-34.454839,-58.35454,1160024899,cte24899@duff.com.ar,July 2025,2025-07-09
Cliente 24900,"Av. Maipú 300, Vicente López",-34.506393,-58.602272,1160024900,cte24900@duff.com.ar,July 2025,2025-07-09
Cliente 24901,"Av. Santa Fe 2300, Palermo",-34.429559,-58.679284,1160024901,cte24901@duff.com.ar,July 2025,2025-07-09
Cliente 24902,"Av. Libertador 15000, San Isidro",-34.592594,-58.572564,1160024902,cte24902@duff.com.ar,July 2025,2025-07-09
Cliente 24903,"Calle 12 y 44, La Plata",-34.550559,-58.59139,1160024903,cte24903@duff.com.ar,July 2025,2025-07-09
Cliente 24904,"Belgrano 500, Morón",-34.402783,-58.610605,1160024904,cte24904@duff.com.ar,July 2025,2025-07-09
Cliente 24905,"Belgrano 500, Morón",-34.458407,-58.649839,1160024905,cte24905@duff.com.ar,July 2025,2025-07-09
Cliente 24906,"Belgrano 500, Morón",-34.539315,-58.652738,1160024906,cte24906@duff.com.ar,July 2025,2025-07-09
Cliente 24907,"Calle 12 y 44, La Plata",-34.485568,-58.659557,1160024907,cte24907@duff.com.ar,July 2025,2025-07-09
Cliente 24908,"Belgrano 500, Morón",-34.456327,-58.47789,1160024908,cte24908@duff.com.ar,July 2025,2025-07-09
Cliente 24909,"Av. Santa Fe 2300, Palermo",-34.515746,-58.739769,1160024909,cte24909@duff.com.ar,July 2025,2025-07-09
Cliente 24910,"Av. Santa Fe 2300, Palermo",-34.59547,-58.536877,1160024910,cte24910@duff.com.ar,July 2025,2025-07-09
Cliente 24911,"San Martín 800, Lanús",-34.43216,-58.510451,1160024911,cte24911@duff.com.ar,July 2025,2025-07-09
Cliente 24912,"Av. Libertador 15000, San Isidro",-34.51287,-58.397152,1160024912,cte24912@duff.com.ar,July 2025,2025-07-09
Cliente 24913,"Belgrano 500, Morón",-34.560601,-58.60623,1160024913,cte24913@duff.com.ar,July 2025,2025-07-09
Cliente 24914,"Av. Rivadavia 1000, CABA",-34.486938,-58.633332,1160024914,cte24914@duff.com.ar,July 2025,2025-07-09
Cliente 24915,"Av. Maipú 300, Vicente López",-34.400458,-58.569072,1160024915,cte24915@duff.com.ar,July 2025,2025-07-09
Cliente 24916,"Ruta 8 Km 30, San Miguel",-34.589656,-58.679567,1160024916,cte24916@duff.com.ar,July 2025,2025-07-09
Cliente 24917,"Av. Hipólito Yrigoyen 16000, Lomas",-34.493504,-58.529978,1160024917,cte24917@duff.com.ar,July 2025,2025-07-09
Cliente 24918,"Belgrano 500, Morón",-34.403171,-58.510013,1160024918,cte24918@duff.com.ar,July 2025,2025-07-09
Cliente 24919,"Av. Libertador 15000, San Isidro",-34.466675,-58.664511,1160024919,cte24919@duff.com.ar,July 2025,2025-07-09
Cliente 24920,"San Martín 800, Lanús",-34.578627,-58.509196,1160024920,cte24920@duff.com.ar,July 2025,2025-07-09
Cliente 24921,"Av. Hipólito Yrigoyen 16000, Lomas",-34.427024,-58.515051,1160024921,cte24921@duff.com.ar,July 2025,2025-07-09
Cliente 24922,"Av. Corrientes 1234, CABA",-34.511443,-58.518717,1160024922,cte24922@duff.com.ar,July 2025,2025-07-09
Cliente 24923,"Av. Maipú 300, Vicente López",-34.506246,-58.693247,1160024923,cte24923@duff.com.ar,July 2025,2025-07-09
Cliente 24924,"Av. Hipólito Yrigoyen 16000, Lomas",-34.451763,-58.536785,1160024924,cte24924@duff.com.ar,July 2025,2025-07-09
Cliente 24925,"Av. Calchaquí 2300, Quilmes",-34.520135,-58.526145,1160024925,cte24925@duff.com.ar,July 2025,2025-07-09
Cliente 24926,"San Martín 800, Lanús",-34.551755,-58.578817,1160024926,cte24926@duff.com.ar,July 2025,2025-07-09
Cliente 24927,"Av. Maipú 300, Vicente López",-34.475511,-58.659523,1160024927,cte24927@duff.com.ar,July 2025,2025-07-09
Cliente 24928,"Calle 12 y 44, La Plata",-34.450201,-58.541596,1160024928,cte24928@duff.com.ar,July 2025,2025-07-09
Cliente 24929,"Av. Mitre 200, Quilmes",-34.427659,-58.411105,1160024929,cte24929@duff.com.ar,July 2025,2025-07-09
Cliente 24930,"Av. Rivadavia 1000, CABA",-34.501097,-58.671814,1160024930,cte24930@duff.com.ar,July 2025,2025-07-09
Cliente 24931,"Av. Corrientes 1234, CABA",-34.452672,-58.582529,1160024931,cte24931@duff.com.ar,July 2025,2025-07-09
Cliente 24932,"Av. Libertador 15000, San Isidro",-34.481075,-58.707094,1160024932,cte24932@duff.com.ar,July 2025,2025-07-09
Cliente 24933,"Belgrano 500, Morón",-34.473683,-58.60058,1160024933,cte24933@duff.com.ar,July 2025,2025-07-09
Cliente 24934,"Av. Santa Fe 2300, Palermo",-34.533162,-58.358034,1160024934,cte24934@duff.com.ar,July 2025,2025-07-09
Cliente 24935,"Av. Libertador 15000, San Isidro",-34.513514,-58.478785,1160024935,cte24935@duff.com.ar,July 2025,2025-07-09
Cliente 24936,"Calle 12 y 44, La Plata",-34.474454,-58.708279,1160024936,cte24936@duff.com.ar,July 2025,2025-07-09
Cliente 24937,"Av. Libertador 15000, San Isidro",-34.450414,-58.620736,1160024937,cte24937@duff.com.ar,July 2025,2025-07-09
Cliente 24938,"Av. Maipú 300, Vicente López",-34.440212,-58.506944,1160024938,cte24938@duff.com.ar,July 2025,2025-07-09
Cliente 24939,"San Martín 800, Lanús",-34.536582,-58.607483,1160024939,cte24939@duff.com.ar,July 2025,2025-07-09
Cliente 24940,"Av. Maipú 300, Vicente López",-34.453699,-58.529976,1160024940,cte24940@duff.com.ar,July 2025,2025-07-09
Cliente 24941,"San Martín 800, Lanús",-34.46633,-58.686673,1160024941,cte24941@duff.com.ar,July 2025,2025-07-09
Cliente 24942,"Av. Mitre 200, Quilmes",-34.442605,-58.621843,1160024942,cte24942@duff.com.ar,July 2025,2025-07-09
Cliente 24943,"Av. Santa Fe 2300, Palermo",-34.476028,-58.704128,1160024943,cte24943@duff.com.ar,July 2025,2025-07-09
Cliente 24944,"Av. Calchaquí 2300, Quilmes",-34.535716,-58.490453,1160024944,cte24944@duff.com.ar,July 2025,2025-07-09
Cliente 24945,"Av. Mitre 200, Quilmes",-34.545159,-58.397875,1160024945,cte24945@duff.com.ar,July 2025,2025-07-09
Cliente 24946,"Belgrano 500, Morón",-34.467754,-58.401889,1160024946,cte24946@duff.com.ar,July 2025,2025-07-09
Cliente 24947,"Av. Hipólito Yrigoyen 16000, Lomas",-34.520922,-58.736406,1160024947,cte24947@duff.com.ar,July 2025,2025-07-09
Cliente 24948,"San Martín 800, Lanús",-34.484772,-58.614323,1160024948,cte24948@duff.com.ar,July 2025,2025-07-09
Cliente 24949,"Av. Santa Fe 2300, Palermo",-34.510362,-58.477556,1160024949,cte24949@duff.com.ar,July 2025,2025-07-09
Cliente 24950,"Av. Mitre 200, Quilmes",-34.459867,-58.738977,1160024950,cte24950@duff.com.ar,July 2025,2025-07-09
Cliente 24951,"Av. Mitre 200, Quilmes",-34.446139,-58.552592,1160024951,cte24951@duff.com.ar,July 2025,2025-07-09
Cliente 24952,"Belgrano 500, Morón",-34.48866,-58.630802,1160024952,cte24952@duff.com.ar,July 2025,2025-07-09
Cliente 24953,"Av. Corrientes 1234, CABA",-34.515833,-58.46585,1160024953,cte24953@duff.com.ar,July 2025,2025-07-09
Cliente 24954,"San Martín 800, Lanús",-34.444657,-58.595158,1160024954,cte24954@duff.com.ar,July 2025,2025-07-09
Cliente 24955,"Av. Corrientes 1234, CABA",-34.461776,-58.646783,1160024955,cte24955@duff.com.ar,July 2025,2025-07-09
Cliente 24956,"Av. Calchaquí 2300, Quilmes",-34.433595,-58.506074,1160024956,cte24956@duff.com.ar,July 2025,2025-07-09
Cliente 24957,"Av. Calchaquí 2300, Quilmes",-34.444963,-58.559138,1160024957,cte24957@duff.com.ar,July 2025,2025-07-09
Cliente 24958,"Av. Santa Fe 2300, Palermo",-34.554178,-58.578308,1160024958,cte24958@duff.com.ar,July 2025,2025-07-09
Cliente 24959,"Av. Hipólito Yrigoyen 16000, Lomas",-34.523703,-58.616913,1160024959,cte24959@duff.com.ar,July 2025,2025-07-09
Cliente 24960,"Av. Rivadavia 1000, CABA",-34.557565,-58.446333,1160024960,cte24960@duff.com.ar,July 2025,2025-07-09
Cliente 24961,"Calle 12 y 44, La Plata",-34.58273,-58.394976,1160024961,cte24961@duff.com.ar,July 2025,2025-07-09
Cliente 24962,"San Martín 800, Lanús",-34.564995,-58.358051,1160024962,cte24962@duff.com.ar,July 2025,2025-07-09
Cliente 24963,"Belgrano 500, Morón",-34.402306,-58.590645,1160024963,cte24963@duff.com.ar,July 2025,2025-07-09
Cliente 24964,"Av. Mitre 200, Quilmes",-34.402436,-58.402373,1160024964,cte24964@duff.com.ar,July 2025,2025-07-09
Cliente 24965,"San Martín 800, Lanús",-34.583514,-58.371069,1160024965,cte24965@duff.com.ar,July 2025,2025-07-09
Cliente 24966,"Av. Santa Fe 2300, Palermo",-34.591497,-58.677234,1160024966,cte24966@duff.com.ar,July 2025,2025-07-09
Cliente 24967,"Av. Santa Fe 2300, Palermo",-34.483081,-58.717705,1160024967,cte24967@duff.com.ar,July 2025,2025-07-09
Cliente 24968,"Av. Rivadavia 1000, CABA",-34.567654,-58.368603,1160024968,cte24968@duff.com.ar,July 2025,2025-07-09
Cliente 24969,"Av. Libertador 15000, San Isidro",-34.401062,-58.430745,1160024969,cte24969@duff.com.ar,July 2025,2025-07-09
Cliente 24970,"Belgrano 500, Morón",-34.496958,-58.38988,1160024970,cte24970@duff.com.ar,July 2025,2025-07-09
Cliente 24971,"Av. Santa Fe 2300, Palermo",-34.57762,-58.372843,1160024971,cte24971@duff.com.ar,July 2025,2025-07-09
Cliente 24972,"Av. Mitre 200, Quilmes",-34.529689,-58.405404,1160024972,cte24972@duff.com.ar,July 2025,2025-07-09
Cliente 24973,"San Martín 800, Lanús",-34.466325,-58.36589,1160024973,cte24973@duff.com.ar,July 2025,2025-07-09
Cliente 24974,"San Martín 800, Lanús",-34.427064,-58.394841,1160024974,cte24974@duff.com.ar,July 2025,2025-07-09
Cliente 24975,"Av. Corrientes 1234, CABA",-34.473649,-58.416737,1160024975,cte24975@duff.com.ar,July 2025,2025-07-09
Cliente 24976,"Av. Rivadavia 1000, CABA",-34.448574,-58.685351,1160024976,cte24976@duff.com.ar,July 2025,2025-07-09
Cliente 24977,"Av. Corrientes 1234, CABA",-34.470281,-58.69073,1160024977,cte24977@duff.com.ar,July 2025,2025-07-09
Cliente 24978,"Av. Rivadavia 1000, CABA",-34.426109,-58.72362,1160024978,cte24978@duff.com.ar,July 2025,2025-07-09
Cliente 24979,"San Martín 800, Lanús",-34.402591,-58.589749,1160024979,cte24979@duff.com.ar,July 2025,2025-07-09
Cliente 24980,"Av. Mitre 200, Quilmes",-34.565874,-58.37573,1160024980,cte24980@duff.com.ar,July 2025,2025-07-09
Cliente 24981,"San Martín 800, Lanús",-34.590915,-58.561958,1160024981,cte24981@duff.com.ar,July 2025,2025-07-09
Cliente 24982,"Av. Rivadavia 1000, CABA",-34.445955,-58.6233,1160024982,cte24982@duff.com.ar,July 2025,2025-07-09
Cliente 24983,"Av. Rivadavia 1000, CABA",-34.494233,-58.469835,1160024983,cte24983@duff.com.ar,July 2025,2025-07-09
Cliente 24984,"Av. Corrientes 1234, CABA",-34.409605,-58.708919,1160024984,cte24984@duff.com.ar,July 2025,2025-07-09
Cliente 24985,"Av. Libertador 15000, San Isidro",-34.568555,-58.546452,1160024985,cte24985@duff.com.ar,July 2025,2025-07-09
Cliente 24986,"Av. Santa Fe 2300, Palermo",-34.516305,-58.585682,1160024986,cte24986@duff.com.ar,July 2025,2025-07-09
Cliente 24987,"Calle 12 y 44, La Plata",-34.540608,-58.525726,1160024987,cte24987@duff.com.ar,July 2025,2025-07-09
Cliente 24988,"Av. Hipólito Yrigoyen 16000, Lomas",-34.423342,-58.68563,1160024988,cte24988@duff.com.ar,July 2025,2025-07-09
Cliente 24989,"Calle 12 y 44, La Plata",-34.556943,-58.481671,1160024989,cte24989@duff.com.ar,July 2025,2025-07-09
Cliente 24990,"Calle 12 y 44, La Plata",-34.58876,-58.480494,1160024990,cte24990@duff.com.ar,July 2025,2025-07-09
Cliente 24991,"Av. Corrientes 1234, CABA",-34.537109,-58.606858,1160024991,cte24991@duff.com.ar,July 2025,2025-07-09
Cliente 24992,"Av. Rivadavia 1000, CABA",-34.51889,-58.610165,1160024992,cte24992@duff.com.ar,July 2025,2025-07-09
Cliente 24993,"Av. Rivadavia 1000, CABA",-34.431758,-58.371573,1160024993,cte24993@duff.com.ar,July 2025,2025-07-09
Cliente 24994,"Av. Santa Fe 2300, Palermo",-34.490398,-58.517249,1160024994,cte24994@duff.com.ar,July 2025,2025-07-09
Cliente 24995,"Av. Calchaquí 2300, Quilmes",-34.585903,-58.464723,1160024995,cte24995@duff.com.ar,July 2025,2025-07-09
Cliente 24996,"Belgrano 500, Morón",-34.48318,-58.729842,1160024996,cte24996@duff.com.ar,July 2025,2025-07-09
Cliente 24997,"Av. Calchaquí 2300, Quilmes",-34.560315,-58.669223,1160024997,cte24997@duff.com.ar,July 2025,2025-07-09
Cliente 24998,"Av. Santa Fe 2300, Palermo",-34.565806,-58.486542,1160024998,cte24998@duff.com.ar,July 2025,2025-07-09
Cliente 24999,"Av. Calchaquí 2300, Quilmes",-34.414312,-58.44481,1160024999,cte24999@duff.com.ar,July 2025,2025-07-09
Cliente 25000,"Av. Hipólito Yrigoyen 16000, Lomas",-34.504525,-58.588379,1160025000,cte25000@duff.com.ar,July 2025,2025-07-09
Cliente 25001,"Av. Libertador 15000, San Isidro",-34.522708,-58.509501,1160025001,cte25001@duff.com.ar,July 2025,2025-07-09
Cliente 25002,"Calle 12 y 44, La Plata",-34.528156,-58.659551,1160025002,cte25002@duff.com.ar,July 2025,2025-07-09
Cliente 25003,"Av. Corrientes 1234, CABA",-34.479431,-58.593718,1160025003,cte25003@duff.com.ar,July 2025,2025-07-09
Cliente 25004,"Av. Rivadavia 1000, CABA",-34.597175,-58.741108,1160025004,cte25004@duff.com.ar,July 2025,2025-07-09
Cliente 25005,"Av. Santa Fe 2300, Palermo",-34.545173,-58.545031,1160025005,cte25005@duff.com.ar,July 2025,2025-07-09
Cliente 25006,"Av. Corrientes 1234, CABA",-34.529152,-58.740378,1160025006,cte25006@duff.com.ar,July 2025,2025-07-09
Cliente 25007,"Av. Maipú 300, Vicente López",-34.55537,-58.711432,1160025007,cte25007@duff.com.ar,July 2025,2025-07-09
Cliente 25008,"Av. Mitre 200, Quilmes",-34.410274,-58.624866,1160025008,cte25008@duff.com.ar,July 2025,2025-07-09
Cliente 25009,"Ruta 8 Km 30, San Miguel",-34.597047,-58.485775,1160025009,cte25009@duff.com.ar,July 2025,2025-07-09
Cliente 25010,"Calle 12 y 44, La Plata",-34.55351,-58.523305,1160025010,cte25010@duff.com.ar,July 2025,2025-07-09
Cliente 25011,"Av. Corrientes 1234, CABA",-34.569851,-58.356395,1160025011,cte25011@duff.com.ar,July 2025,2025-07-09
Cliente 25012,"Av. Maipú 300, Vicente López",-34.405948,-58.487607,1160025012,cte25012@duff.com.ar,July 2025,2025-07-09
Cliente 25013,"Av. Rivadavia 1000, CABA",-34.458559,-58.579648,1160025013,cte25013@duff.com.ar,July 2025,2025-07-09
Cliente 25014,"Av. Libertador 15000, San Isidro",-34.407564,-58.580504,1160025014,cte25014@duff.com.ar,July 2025,2025-07-09
Cliente 25015,"Av. Mitre 200, Quilmes",-34.552106,-58.703849,1160025015,cte25015@duff.com.ar,July 2025,2025-07-09
Cliente 25016,"Av. Santa Fe 2300, Palermo",-34.558375,-58.521115,1160025016,cte25016@duff.com.ar,July 2025,2025-07-09
Cliente 25017,"Av. Maipú 300, Vicente López",-34.550982,-58.4883,1160025017,cte25017@duff.com.ar,July 2025,2025-07-09
Cliente 25018,"Ruta 8 Km 30, San Miguel",-34.523563,-58.395251,1160025018,cte25018@duff.com.ar,July 2025,2025-07-09
Cliente 25019,"Av. Calchaquí 2300, Quilmes",-34.488304,-58.500958,1160025019,cte25019@duff.com.ar,July 2025,2025-07-09
Cliente 25020,"Av. Mitre 200, Quilmes",-34.488688,-58.395772,1160025020,cte25020@duff.com.ar,July 2025,2025-07-09
Cliente 25021,"Av. Calchaquí 2300, Quilmes",-34.587316,-58.723061,1160025021,cte25021@duff.com.ar,July 2025,2025-07-09
Cliente 25022,"Av. Corrientes 1234, CABA",-34.459652,-58.442814,1160025022,cte25022@duff.com.ar,July 2025,2025-07-09
Cliente 25023,"Belgrano 500, Morón",-34.513282,-58.609078,1160025023,cte25023@duff.com.ar,July 2025,2025-07-09
Cliente 25024,"Av. Santa Fe 2300, Palermo",-34.544411,-58.656242,1160025024,cte25024@duff.com.ar,July 2025,2025-07-09
Cliente 25025,"Av. Rivadavia 1000, CABA",-34.417608,-58.631944,1160025025,cte25025@duff.com.ar,July 2025,2025-07-09
Cliente 25026,"Av. Hipólito Yrigoyen 16000, Lomas",-34.470384,-58.435162,1160025026,cte25026@duff.com.ar,July 2025,2025-07-09
Cliente 25027,"Av. Maipú 300, Vicente López",-34.595607,-58.73645,1160025027,cte25027@duff.com.ar,July 2025,2025-07-09
Cliente 25028,"Calle 12 y 44, La Plata",-34.533373,-58.471594,1160025028,cte25028@duff.com.ar,July 2025,2025-07-09
Cliente 25029,"Av. Santa Fe 2300, Palermo",-34.54784,-58.749407,1160025029,cte25029@duff.com.ar,July 2025,2025-07-09
Cliente 25030,"Av. Calchaquí 2300, Quilmes",-34.54237,-58.713948,1160025030,cte25030@duff.com.ar,July 2025,2025-07-09
Cliente 25031,"San Martín 800, Lanús",-34.556117,-58.616724,1160025031,cte25031@duff.com.ar,July 2025,2025-07-09
Cliente 25032,"Av. Mitre 200, Quilmes",-34.574389,-58.467454,1160025032,cte25032@duff.com.ar,July 2025,2025-07-09
Cliente 25033,"Ruta 8 Km 30, San Miguel",-34.548816,-58.485562,1160025033,cte25033@duff.com.ar,July 2025,2025-07-09
Cliente 25034,"Av. Maipú 300, Vicente López",-34.480193,-58.390782,1160025034,cte25034@duff.com.ar,July 2025,2025-07-09
Cliente 25035,"Calle 12 y 44, La Plata",-34.582413,-58.664157,1160025035,cte25035@duff.com.ar,July 2025,2025-07-09
Cliente 25036,"Belgrano 500, Morón",-34.426964,-58.421147,1160025036,cte25036@duff.com.ar,July 2025,2025-07-09
Cliente 25037,"Ruta 8 Km 30, San Miguel",-34.561579,-58.706906,1160025037,cte25037@duff.com.ar,July 2025,2025-07-09
Cliente 25038,"Av. Calchaquí 2300, Quilmes",-34.428752,-58.678745,1160025038,cte25038@duff.com.ar,July 2025,2025-07-09
Cliente 25039,"Av. Corrientes 1234, CABA",-34.425778,-58.365554,1160025039,cte25039@duff.com.ar,July 2025,2025-07-09
Cliente 25040,"Av. Rivadavia 1000, CABA",-34.555839,-58.413845,1160025040,cte25040@duff.com.ar,July 2025,2025-07-09
Cliente 25041,"Av. Rivadavia 1000, CABA",-34.515234,-58.434489,1160025041,cte25041@duff.com.ar,July 2025,2025-07-09
Cliente 25042,"Av. Mitre 200, Quilmes",-34.518521,-58.721842,1160025042,cte25042@duff.com.ar,July 2025,2025-07-09
Cliente 25043,"Av. Libertador 15000, San Isidro",-34.457461,-58.689725,1160025043,cte25043@duff.com.ar,July 2025,2025-07-09
Cliente 25044,"Av. Rivadavia 1000, CABA",-34.414595,-58.582901,1160025044,cte25044@duff.com.ar,July 2025,2025-07-09
Cliente 25045,"Av. Hipólito Yrigoyen 16000, Lomas",-34.5836,-58.658608,1160025045,cte25045@duff.com.ar,July 2025,2025-07-09
Cliente 25046,"Calle 12 y 44, La Plata",-34.427496,-58.621566,1160025046,cte25046@duff.com.ar,July 2025,2025-07-09
Cliente 25047,"San Martín 800, Lanús",-34.428734,-58.681085,1160025047,cte25047@duff.com.ar,July 2025,2025-07-09
Cliente 25048,"Av. Rivadavia 1000, CABA",-34.506356,-58.398696,1160025048,cte25048@duff.com.ar,July 2025,2025-07-09
Cliente 25049,"Ruta 8 Km 30, San Miguel",-34.590319,-58.628289,1160025049,cte25049@duff.com.ar,July 2025,2025-07-09
Cliente 25050,"Av. Maipú 300, Vicente López",-34.41803,-58.511389,1160025050,cte25050@duff.com.ar,July 2025,2025-07-09
Cliente 25051,"Ruta 8 Km 30, San Miguel",-34.456754,-58.413149,1160025051,cte25051@duff.com.ar,July 2025,2025-07-09
Cliente 25052,"Av. Libertador 15000, San Isidro",-34.495281,-58.411854,1160025052,cte25052@duff.com.ar,July 2025,2025-07-09
Cliente 25053,"Belgrano 500, Morón",-34.472247,-58.47574,1160025053,cte25053@duff.com.ar,July 2025,2025-07-09
Cliente 25054,"Calle 12 y 44, La Plata",-34.569429,-58.374392,1160025054,cte25054@duff.com.ar,July 2025,2025-07-09
Cliente 25055,"Av. Hipólito Yrigoyen 16000, Lomas",-34.440783,-58.648322,1160025055,cte25055@duff.com.ar,July 2025,2025-07-09
Cliente 25056,"Av. Corrientes 1234, CABA",-34.484001,-58.599414,1160025056,cte25056@duff.com.ar,July 2025,2025-07-09
Cliente 25057,"Ruta 8 Km 30, San Miguel",-34.46792,-58.352501,1160025057,cte25057@duff.com.ar,July 2025,2025-07-09
Cliente 25058,"Av. Rivadavia 1000, CABA",-34.590851,-58.368991,1160025058,cte25058@duff.com.ar,July 2025,2025-07-09
Cliente 25059,"Av. Libertador 15000, San Isidro",-34.585522,-58.565694,1160025059,cte25059@duff.com.ar,July 2025,2025-07-09
Cliente 25060,"Av. Rivadavia 1000, CABA",-34.503578,-58.64251,1160025060,cte25060@duff.com.ar,July 2025,2025-07-09
Cliente 25061,"Calle 12 y 44, La Plata",-34.48666,-58.416414,1160025061,cte25061@duff.com.ar,July 2025,2025-07-09
Cliente 25062,"Calle 12 y 44, La Plata",-34.541208,-58.721838,1160025062,cte25062@duff.com.ar,July 2025,2025-07-09
Cliente 25063,"Av. Calchaquí 2300, Quilmes",-34.473543,-58.449302,1160025063,cte25063@duff.com.ar,July 2025,2025-07-09
Cliente 25064,"Calle 12 y 44, La Plata",-34.409095,-58.68619,1160025064,cte25064@duff.com.ar,July 2025,2025-07-09
Cliente 25065,"Calle 12 y 44, La Plata",-34.419728,-58.557151,1160025065,cte25065@duff.com.ar,July 2025,2025-07-09
Cliente 25066,"Av. Maipú 300, Vicente López",-34.552848,-58.364901,1160025066,cte25066@duff.com.ar,July 2025,2025-07-09
Cliente 25067,"Av. Corrientes 1234, CABA",-34.552314,-58.456622,1160025067,cte25067@duff.com.ar,July 2025,2025-07-09
Cliente 25068,"Av. Corrientes 1234, CABA",-34.443023,-58.577792,1160025068,cte25068@duff.com.ar,July 2025,2025-07-09
Cliente 25069,"Av. Rivadavia 1000, CABA",-34.462003,-58.521009,1160025069,cte25069@duff.com.ar,July 2025,2025-07-09
Cliente 25070,"Av. Calchaquí 2300, Quilmes",-34.561593,-58.446045,1160025070,cte25070@duff.com.ar,July 2025,2025-07-09
Cliente 25071,"Calle 12 y 44, La Plata",-34.414397,-58.554545,1160025071,cte25071@duff.com.ar,July 2025,2025-07-09
Cliente 25072,"Ruta 8 Km 30, San Miguel",-34.401138,-58.578814,1160025072,cte25072@duff.com.ar,July 2025,2025-07-09
Cliente 25073,"Av. Maipú 300, Vicente López",-34.504053,-58.480441,1160025073,cte25073@duff.com.ar,July 2025,2025-07-09
Cliente 25074,"Av. Corrientes 1234, CABA",-34.562846,-58.389222,1160025074,cte25074@duff.com.ar,July 2025,2025-07-09
Cliente 25075,"Av. Libertador 15000, San Isidro",-34.439745,-58.401033,1160025075,cte25075@duff.com.ar,July 2025,2025-07-09
Cliente 25076,"Av. Corrientes 1234, CABA",-34.478088,-58.396501,1160025076,cte25076@duff.com.ar,July 2025,2025-07-09
Cliente 25077,"Av. Libertador 15000, San Isidro",-34.464006,-58.545376,1160025077,cte25077@duff.com.ar,July 2025,2025-07-09
Cliente 25078,"Av. Mitre 200, Quilmes",-34.413642,-58.574112,1160025078,cte25078@duff.com.ar,July 2025,2025-07-09
Cliente 25079,"Av. Maipú 300, Vicente López",-34.499886,-58.682183,1160025079,cte25079@duff.com.ar,July 2025,2025-07-09
Cliente 25080,"Av. Rivadavia 1000, CABA",-34.410468,-58.661579,1160025080,cte25080@duff.com.ar,July 2025,2025-07-09
Cliente 25081,"Av. Hipólito Yrigoyen 16000, Lomas",-34.559717,-58.709522,1160025081,cte25081@duff.com.ar,July 2025,2025-07-09
Cliente 25082,"Av. Santa Fe 2300, Palermo",-34.509328,-58.640554,1160025082,cte25082@duff.com.ar,July 2025,2025-07-09
Cliente 25083,"Ruta 8 Km 30, San Miguel",-34.451844,-58.626991,1160025083,cte25083@duff.com.ar,July 2025,2025-07-09
